Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinSocket_1x14_P2.54mm_Vertical,2,Conn_01x14,
J3,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06,
